ID	CCLE name	Cell line primary name	Gender	Batch	Site Primary	Histology	Hist Subtype1
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A02_240852	LN18_CENTRAL_NERVOUS_SYSTEM	LN-18	M	1	central_nervous_system	glioma	astrocytoma_Grade_IV
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A05_240858	769P_KIDNEY	769-P	F	1	kidney	carcinoma	clear_cell_renal_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A07_240862	786O_KIDNEY	786-O	M	1	kidney	carcinoma	clear_cell_renal_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A08_240864	CAOV3_OVARY	Caov-3	F	1	ovary	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A09_240866	HEPG2_LIVER	Hep G2	M	1	liver	carcinoma	hepatocellular_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A10_240868	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-4	M	1	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A11_240870	NCIH524_LUNG	NCI-H524	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A12_240872	NCIH209_LUNG	NCI-H209	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B01_240874	MIAPACA2_PANCREAS	MIA PaCa-2	M	1	pancreas	carcinoma	ductal_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B02_240876	MCAS_OVARY	MCAS	F	1	ovary	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B03_240878	SBC5_LUNG	SBC-5		1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B05_240882	COLO829_SKIN	COLO 829	M	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B06_240884	VCAP_PROSTATE	VCaP	M	1	prostate	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B07_240886	COLO704_OVARY	COLO-704	F	1	ovary	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B08_240888	IPC298_SKIN	IPC-298	F	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B09_240890	CAPAN2_PANCREAS	Capan-2	M	1	pancreas	carcinoma	ductal_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B11_240894	EFM192A_BREAST	EFM-192A	F	1	breast	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B12_240896	HS766T_PANCREAS	Hs 766T	M	1	pancreas	carcinoma	ductal_carcinoma
